Easting	Northing	Elevation	Chainage	FC	Profile	Reg_ID
367757.458	74252.599	5.638	99.916	G	N/A	6a00138
367756.025	74251.252	6.062	101.881	G	N/A	6a00138
367754.321	74249.922	6.714	104.040	G	N/A	6a00138
367752.449	74248.235	7.560	106.559	G	N/A	6a00138
367750.243	74246.341	8.443	109.467	G	N/A	6a00138
367748.255	74244.614	9.216	112.100	G	N/A	6a00138
367746.439	74243.006	9.856	114.526	G	N/A	6a00138
367744.384	74241.303	10.601	117.194	G	N/A	6a00138
367742.879	74239.987	11.230	119.193	G	N/A	6a00138
367741.310	74238.604	11.627	121.285	G	N/A	6a00138
367739.370	74236.923	11.974	123.852	G	N/A	6a00138
367737.270	74235.026	12.309	126.681	G	N/A	6a00138
367735.120	74233.276	12.506	129.452	G	N/A	6a00138
367733.648	74231.936	12.626	131.442	G	N/A	6a00138
367732.676	74231.123	12.620	132.709	G	N/A	6a00138
367731.437	74229.975	12.008	134.397	G	N/A	6a00138
367729.916	74228.654	11.067	136.411	G	N/A	6a00138
367728.161	74227.216	10.041	138.680	G	N/A	6a00138
367726.593	74225.886	9.285	140.736	G	N/A	6a00138
367724.889	74224.328	8.913	143.044	G	N/A	6a00138
367722.990	74222.734	8.664	145.523	G	N/A	6a00138
367721.154	74221.135	8.829	147.957	G	N/A	6a00138
367719.072	74219.331	8.867	150.712	G	N/A	6a00138
367717.117	74217.634	8.818	153.301	G	N/A	6a00138
367715.264	74216.068	8.739	155.727	G	N/A	6a00138
367713.366	74214.384	8.054	158.264	G	N/A	6a00138
367711.566	74212.767	7.604	160.683	G	N/A	6a00138
367709.839	74211.308	7.307	162.944	G	N/A	6a00138
367708.528	74210.260	6.920	164.621	G	N/A	6a00138
367706.592	74208.485	6.295	167.246	G	N/A	6a00138
367705.051	74207.215	6.175	169.243	G	N/A	6a00138
367704.414	74206.683	6.254	170.073	G	N/A	6a00138
367702.918	74205.339	6.059	172.083	G	N/A	6a00138
367701.538	74204.154	5.422	173.902	G	N/A	6a00138
367700.504	74203.170	5.136	175.328	G	N/A	6a00138
367698.992	74201.966	5.004	177.259	G	N/A	6a00138
367697.557	74200.630	4.960	179.219	G	N/A	6a00138
367697.135	74200.280	4.719	179.767	G	N/A	6a00138
367696.258	74199.520	4.437	180.927	G	N/A	6a00138
367695.096	74198.603	4.190	182.406	G	N/A	6a00138
367693.652	74197.237	3.537	184.392	G	N/A	6a00138
367692.185	74196.079	2.847	186.259	G	N/A	6a00138
367690.585	74194.642	2.347	188.409	G	N/A	6a00138
367688.714	74193.064	1.692	190.856	G	N/A	6a00138
367686.730	74191.253	1.132	193.542	G	N/A	6a00138
367685.033	74189.829	0.650	195.757	G	N/A	6a00138
367683.150	74188.192	0.167	198.252	G	N/A	6a00138
367681.321	74186.593	-0.189	200.681	G	N/A	6a00138
367680.321	74185.755	-0.393	201.986	G	N/A	6a00138
367678.894	74184.548	-0.872	203.855	G	N/A	6a00138
367677.625	74183.460	-1.274	205.526	G	N/A	6a00138
367676.688	74182.562	-1.504	206.822	G	N/A	6a00138
367761.947	74386.055	3.349	10.635	FB	N/A	6a00140
367760.672	74384.914	3.411	12.346	FB	N/A	6a00140
367760.636	74384.858	3.339	12.410	G	N/A	6a00140
367759.607	74383.969	2.972	13.770	G	N/A	6a00140
367758.276	74382.835	2.631	15.518	G	N/A	6a00140
367756.603	74381.375	2.707	17.739	G	N/A	6a00140
367754.677	74379.711	2.857	20.284	G	N/A	6a00140
367752.697	74377.999	2.955	22.901	G	N/A	6a00140
367750.725	74376.277	3.000	25.519	G	N/A	6a00140
367748.544	74374.451	3.040	28.363	G	N/A	6a00140
367746.386	74372.500	3.011	31.272	G	N/A	6a00140
367744.458	74370.882	2.988	33.789	G	N/A	6a00140
367743.357	74369.901	2.708	35.263	G	N/A	6a00140
367741.714	74368.462	2.182	37.447	G	N/A	6a00140
367739.990	74366.929	1.516	39.754	G	N/A	6a00140
367738.177	74365.454	1.184	42.090	G	N/A	6a00140
367736.152	74363.661	1.094	44.795	G	N/A	6a00140
367734.139	74361.905	1.155	47.466	G	N/A	6a00140
367732.339	74360.381	1.618	49.824	G	N/A	6a00140
367730.510	74358.780	2.236	52.255	G	N/A	6a00140
367728.445	74357.037	2.964	54.957	G	N/A	6a00140
367726.361	74355.217	3.566	57.724	G	N/A	6a00140
367724.032	74353.197	3.772	60.807	G	N/A	6a00140
367721.770	74351.237	3.975	63.800	G	N/A	6a00140
367719.211	74348.946	4.215	67.234	G	N/A	6a00140
367716.848	74346.929	4.492	70.341	G	N/A	6a00140
367714.096	74344.559	4.641	73.973	G	N/A	6a00140
367711.452	74342.273	4.655	77.468	G	N/A	6a00140
367708.736	74339.881	4.825	81.087	G	N/A	6a00140
367706.278	74337.768	5.153	84.328	G	N/A	6a00140
367703.585	74335.458	5.163	87.876	G	N/A	6a00140
367701.098	74333.258	5.098	91.196	G	N/A	6a00140
367698.751	74331.283	5.279	94.264	G	N/A	6a00140
367696.184	74329.088	5.622	97.641	G	N/A	6a00140
367693.606	74326.780	6.138	101.101	G	N/A	6a00140
367691.304	74324.803	6.585	104.135	G	N/A	6a00140
367688.841	74322.725	7.147	107.357	G	N/A	6a00140
367686.493	74320.668	7.766	110.479	G	N/A	6a00140
367684.369	74318.779	8.451	113.321	G	N/A	6a00140
367682.253	74317.027	9.339	116.068	G	N/A	6a00140
367680.060	74315.146	10.259	118.957	G	N/A	6a00140
367677.965	74313.259	11.205	121.776	G	N/A	6a00140
367675.605	74311.233	11.905	124.886	G	N/A	6a00140
367673.924	74309.714	12.517	127.151	G	N/A	6a00140
367672.255	74308.281	12.901	129.351	G	N/A	6a00140
367670.246	74306.536	12.942	132.012	G	N/A	6a00140
367668.656	74305.206	12.947	134.085	G	N/A	6a00140
367667.697	74304.321	12.853	135.389	G	N/A	6a00140
367666.056	74302.951	11.913	137.526	G	N/A	6a00140
367664.304	74301.412	10.741	139.858	G	N/A	6a00140
367662.409	74299.824	9.757	142.330	G	N/A	6a00140
367660.286	74297.976	9.020	145.145	G	N/A	6a00140
367658.359	74296.307	8.631	147.694	G	N/A	6a00140
367656.273	74294.453	8.702	150.485	G	N/A	6a00140
367653.812	74292.372	8.727	153.707	G	N/A	6a00140
367651.547	74290.419	8.700	156.698	G	N/A	6a00140
367650.601	74289.526	8.559	157.998	G	N/A	6a00140
367648.810	74288.023	7.780	160.336	G	N/A	6a00140
367646.670	74286.146	7.298	163.182	G	N/A	6a00140
367644.292	74284.136	6.964	166.296	G	N/A	6a00140
367642.047	74282.196	6.616	169.263	G	N/A	6a00140
367640.100	74280.448	6.342	171.879	G	N/A	6a00140
367638.359	74278.964	6.257	174.166	G	N/A	6a00140
367637.020	74277.829	5.559	175.922	G	N/A	6a00140
367636.115	74277.010	5.278	177.142	G	N/A	6a00140
367635.840	74276.758	5.244	177.515	G	N/A	6a00140
367634.926	74275.995	5.059	178.705	G	N/A	6a00140
367633.803	74274.955	5.057	180.235	G	N/A	6a00140
367632.306	74273.699	4.720	182.189	G	N/A	6a00140
367631.197	74272.741	4.484	183.654	G	N/A	6a00140
367629.536	74271.249	3.626	185.887	G	N/A	6a00140
367628.170	74270.112	3.021	187.664	G	N/A	6a00140
367626.517	74268.658	2.529	189.865	G	N/A	6a00140
367624.472	74266.975	1.805	192.513	G	N/A	6a00140
367622.566	74265.241	1.109	195.089	G	N/A	6a00140
367620.580	74263.581	0.642	197.677	G	N/A	6a00140
367618.418	74261.701	0.066	200.542	G	N/A	6a00140
367616.429	74259.901	-0.329	203.224	G	N/A	6a00140
367614.686	74258.513	-0.825	205.450	G	N/A	6a00140
367613.407	74257.286	-1.283	207.220	G	N/A	6a00140
367612.478	74256.483	-1.493	208.448	G	N/A	6a00140
367612.247	74256.355	-1.530	208.706	G	N/A	6a00140
367690.597	74471.164	3.311	5.841	FB	N/A	6a00142
367689.325	74470.074	3.366	7.516	FB	N/A	6a00142
367689.259	74469.994	3.283	7.618	G	N/A	6a00142
367688.736	74469.528	2.986	8.319	G	N/A	6a00142
367688.104	74469.019	2.652	9.130	G	N/A	6a00142
367686.875	74467.885	2.440	10.801	G	N/A	6a00142
367685.041	74466.285	2.450	13.235	G	N/A	6a00142
367682.768	74464.258	2.579	16.281	G	N/A	6a00142
367680.590	74462.338	2.679	19.184	G	N/A	6a00142
367678.151	74460.239	2.768	22.402	G	N/A	6a00142
367676.092	74458.407	2.783	25.158	G	N/A	6a00142
367674.075	74456.701	2.927	27.799	G	N/A	6a00142
367672.424	74455.216	2.934	30.019	G	N/A	6a00142
367670.890	74453.843	2.408	32.078	G	N/A	6a00142
367668.882	74452.049	1.660	34.771	G	N/A	6a00142
367667.025	74450.465	1.134	37.211	G	N/A	6a00142
367665.288	74448.909	1.049	39.543	G	N/A	6a00142
367663.387	74447.269	1.030	42.054	G	N/A	6a00142
367662.036	74446.127	1.192	43.822	G	N/A	6a00142
367660.195	74444.495	1.718	46.283	G	N/A	6a00142
367658.061	74442.626	2.398	49.119	G	N/A	6a00142
367656.171	74440.890	3.112	51.685	G	N/A	6a00142
367654.324	74439.335	3.697	54.099	G	N/A	6a00142
367652.216	74437.475	4.386	56.910	G	N/A	6a00142
367650.397	74435.867	4.733	59.338	G	N/A	6a00142
367648.238	74433.971	4.800	62.211	G	N/A	6a00142
367645.705	74431.769	4.944	65.568	G	N/A	6a00142
367643.228	74429.619	5.118	68.847	G	N/A	6a00142
367640.947	74427.610	5.407	71.887	G	N/A	6a00142
367638.551	74425.528	5.291	75.061	G	N/A	6a00142
367636.127	74423.310	5.302	78.346	G	N/A	6a00142
367633.935	74421.410	5.402	81.247	G	N/A	6a00142
367631.516	74419.322	5.635	84.442	G	N/A	6a00142
367629.078	74417.122	5.526	87.726	G	N/A	6a00142
367626.521	74414.960	5.440	91.074	G	N/A	6a00142
367624.138	74412.819	5.299	94.277	G	N/A	6a00142
367622.187	74411.146	5.622	96.847	G	N/A	6a00142
367620.452	74409.619	6.320	99.158	G	N/A	6a00142
367618.634	74408.040	7.051	101.566	G	N/A	6a00142
367616.717	74406.308	7.715	104.149	G	N/A	6a00142
367614.761	74404.625	8.207	106.730	G	N/A	6a00142
367612.672	74402.774	8.861	109.521	G	N/A	6a00142
367610.669	74400.962	9.554	112.221	G	N/A	6a00142
367608.570	74399.118	10.238	115.015	G	N/A	6a00142
367606.156	74397.023	10.850	118.212	G	N/A	6a00142
367604.060	74395.228	11.321	120.971	G	N/A	6a00142
367602.099	74393.409	11.969	123.645	G	N/A	6a00142
367599.942	74391.539	12.330	126.499	G	N/A	6a00142
367597.585	74389.531	12.461	129.596	G	N/A	6a00142
367595.904	74388.007	12.440	131.864	G	N/A	6a00142
367594.299	74386.663	12.301	133.957	G	N/A	6a00142
367592.994	74385.538	11.874	135.680	G	N/A	6a00142
367591.688	74384.326	11.145	137.461	G	N/A	6a00142
367590.187	74383.060	10.292	139.424	G	N/A	6a00142
367588.370	74381.445	9.399	141.855	G	N/A	6a00142
367586.068	74379.432	8.791	144.913	G	N/A	6a00142
367583.767	74377.337	8.481	148.025	G	N/A	6a00142
367581.352	74375.285	8.472	151.193	G	N/A	6a00142
367579.198	74373.371	8.677	154.075	G	N/A	6a00142
367578.062	74372.425	8.224	155.552	G	N/A	6a00142
367576.279	74370.775	7.538	157.981	G	N/A	6a00142
367574.408	74369.208	7.152	160.421	G	N/A	6a00142
367572.304	74367.264	6.677	163.284	G	N/A	6a00142
367569.981	74365.301	6.329	166.325	G	N/A	6a00142
367567.384	74363.055	6.244	169.759	G	N/A	6a00142
367566.348	74362.012	6.120	171.225	G	N/A	6a00142
367565.310	74361.212	5.736	172.533	G	N/A	6a00142
367564.002	74360.085	5.094	174.260	G	N/A	6a00142
367562.766	74358.960	5.110	175.931	G	N/A	6a00142
367561.398	74357.719	5.111	177.777	G	N/A	6a00142
367560.305	74356.855	4.730	179.169	G	N/A	6a00142
367559.285	74355.903	4.517	180.563	G	N/A	6a00142
367558.126	74354.846	3.895	182.132	G	N/A	6a00142
367556.346	74353.266	3.094	184.512	G	N/A	6a00142
367554.415	74351.599	2.423	187.063	G	N/A	6a00142
367552.693	74350.124	1.796	189.330	G	N/A	6a00142
367551.431	74348.986	1.457	191.029	G	N/A	6a00142
367549.613	74347.437	0.855	193.417	G	N/A	6a00142
367548.093	74346.036	0.420	195.484	G	N/A	6a00142
367547.079	74345.147	0.247	196.832	G	N/A	6a00142
367545.413	74343.766	-0.185	198.995	G	N/A	6a00142
367543.940	74342.448	-0.512	200.972	G	N/A	6a00142
367542.749	74341.431	-0.864	202.538	G	N/A	6a00142
367541.080	74340.001	-1.362	204.736	G	N/A	6a00142
367540.528	74339.517	-1.503	205.470	G	N/A	6a00142
367647.775	74519.653	3.208	8.203	FB	N/A	6a00144
367646.583	74518.521	3.253	9.845	FB	N/A	6a00144
367646.499	74518.473	3.186	9.940	G	N/A	6a00144
367645.070	74517.257	2.964	11.817	G	N/A	6a00144
367643.073	74515.548	2.761	14.445	G	N/A	6a00144
367640.493	74513.371	2.613	17.821	G	N/A	6a00144
367638.215	74511.408	2.656	20.828	G	N/A	6a00144
367635.809	74509.271	2.696	24.045	G	N/A	6a00144
367633.306	74507.022	2.716	27.410	G	N/A	6a00144
367630.644	74504.768	2.758	30.898	G	N/A	6a00144
367629.483	74503.754	2.547	32.439	G	N/A	6a00144
367627.151	74501.764	1.749	35.505	G	N/A	6a00144
367625.269	74500.138	1.186	37.992	G	N/A	6a00144
367624.023	74499.096	0.801	39.616	G	N/A	6a00144
367622.117	74497.426	0.747	42.150	G	N/A	6a00144
367619.916	74495.543	1.032	45.047	G	N/A	6a00144
367617.988	74493.824	1.523	47.629	G	N/A	6a00144
367615.872	74492.072	2.238	50.376	G	N/A	6a00144
367613.648	74489.978	3.095	53.428	G	N/A	6a00144
367612.101	74488.782	3.595	55.380	G	N/A	6a00144
367609.947	74486.874	4.353	58.258	G	N/A	6a00144
367608.000	74485.192	4.832	60.830	G	N/A	6a00144
367605.558	74483.064	5.107	64.070	G	N/A	6a00144
367602.848	74480.743	5.319	67.638	G	N/A	6a00144
367600.019	74478.314	5.487	71.366	G	N/A	6a00144
367597.300	74475.946	5.582	74.972	G	N/A	6a00144
367594.956	74473.932	5.662	78.062	G	N/A	6a00144
367593.023	74472.243	5.581	80.629	G	N/A	6a00144
367592.217	74471.536	5.411	81.701	G	N/A	6a00144
367591.627	74470.976	5.402	82.514	G	N/A	6a00144
367591.342	74470.781	5.424	82.857	G	N/A	6a00144
367589.559	74469.136	5.675	85.282	G	N/A	6a00144
367587.119	74467.095	5.922	88.462	G	N/A	6a00144
367584.848	74465.080	6.020	91.498	G	N/A	6a00144
367582.151	74462.804	6.216	95.027	G	N/A	6a00144
367579.595	74460.628	6.533	98.384	G	N/A	6a00144
367577.092	74458.386	7.031	101.743	G	N/A	6a00144
367574.400	74456.090	7.601	105.281	G	N/A	6a00144
367572.170	74454.204	8.162	108.202	G	N/A	6a00144
367571.858	74453.971	8.254	108.590	G	N/A	6a00144
367569.961	74452.257	8.935	111.146	G	N/A	6a00144
367568.757	74451.197	9.422	112.750	G	N/A	6a00144
367566.329	74449.144	10.410	115.930	G	N/A	6a00144
367563.676	74446.753	11.344	119.500	G	N/A	6a00144
367561.110	74444.634	11.864	122.827	G	N/A	6a00144
367558.451	74442.308	12.099	126.360	G	N/A	6a00144
367556.252	74440.344	12.497	129.308	G	N/A	6a00144
367554.410	74438.746	12.565	131.747	G	N/A	6a00144
367552.121	74436.914	12.451	134.676	G	N/A	6a00144
367551.107	74435.935	12.069	136.084	G	N/A	6a00144
367549.282	74434.475	11.178	138.419	G	N/A	6a00144
367547.727	74433.052	10.373	140.526	G	N/A	6a00144
367545.852	74431.392	9.558	143.030	G	N/A	6a00144
367544.116	74429.885	9.057	145.329	G	N/A	6a00144
367541.389	74427.625	8.772	148.870	G	N/A	6a00144
367538.892	74425.462	8.756	152.174	G	N/A	6a00144
367536.161	74423.026	8.710	155.833	G	N/A	6a00144
367535.083	74422.133	8.382	157.232	G	N/A	6a00144
367532.584	74419.948	7.651	160.552	G	N/A	6a00144
367530.491	74418.121	7.254	163.330	G	N/A	6a00144
367528.677	74416.478	6.690	165.777	G	N/A	6a00144
367525.805	74414.004	6.259	169.568	G	N/A	6a00144
367523.302	74411.903	6.025	172.835	G	N/A	6a00144
367520.824	74409.786	5.050	176.094	G	N/A	6a00144
367518.448	74407.729	5.093	179.237	G	N/A	6a00144
367517.221	74406.724	4.759	180.822	G	N/A	6a00144
367516.101	74405.674	4.490	182.356	G	N/A	6a00144
367515.483	74405.140	4.430	183.173	G	N/A	6a00144
367513.817	74403.672	3.568	185.393	G	N/A	6a00144
367511.839	74402.004	2.683	187.981	G	N/A	6a00144
367509.802	74400.235	1.987	190.679	G	N/A	6a00144
367507.838	74398.512	1.410	193.291	G	N/A	6a00144
367505.596	74396.662	0.732	196.197	G	N/A	6a00144
367503.650	74394.923	0.206	198.807	G	N/A	6a00144
367501.688	74393.187	-0.224	201.426	G	N/A	6a00144
367499.721	74391.545	-0.656	203.988	G	N/A	6a00144
367498.077	74390.094	-1.229	206.181	G	N/A	6a00144
367496.966	74389.075	-1.510	207.688	G	N/A	6a00144
367587.899	74578.470	3.090	5.414	FB	N/A	6a00146
367586.605	74577.338	3.150	7.133	FB	N/A	6a00146
367586.572	74577.298	3.119	7.184	G	N/A	6a00146
367584.995	74575.899	2.696	9.292	G	N/A	6a00146
367583.967	74575.037	2.532	10.634	G	N/A	6a00146
367583.578	74574.697	2.467	11.150	G	N/A	6a00146
367581.354	74572.748	2.415	14.107	G	N/A	6a00146
367579.151	74570.921	2.483	16.969	G	N/A	6a00146
367576.846	74568.942	2.476	20.007	G	N/A	6a00146
367574.724	74567.092	2.520	22.822	G	N/A	6a00146
367573.388	74566.002	2.611	24.546	G	N/A	6a00146
367573.362	74565.933	2.699	24.610	FB	N/A	6a00146
367573.254	74565.849	2.712	24.747	FB	N/A	6a00146
367573.183	74565.873	2.974	24.785	FB	N/A	6a00146
367573.120	74565.814	2.972	24.871	FB	N/A	6a00146
367573.108	74565.693	3.918	24.960	FB	N/A	6a00146
367572.909	74565.508	3.907	25.231	FB	N/A	6a00146
367572.815	74565.516	2.975	25.297	FB	N/A	6a00146
367572.726	74565.440	2.970	25.414	FB	N/A	6a00146
367572.689	74565.400	2.702	25.468	FB	N/A	6a00146
367572.608	74565.294	2.687	25.599	FB	N/A	6a00146
367572.581	74565.233	1.707	25.659	FB	N/A	6a00146
367571.890	74564.690	1.734	26.537	FB	N/A	6a00146
367571.811	74564.626	0.755	26.639	FB	N/A	6a00146
367571.108	74564.037	0.706	27.556	FB	N/A	6a00146
367571.022	74563.976	0.664	27.661	G	N/A	6a00146
367570.317	74563.309	0.495	28.630	G	N/A	6a00146
367569.521	74562.611	0.351	29.689	G	N/A	6a00146
367569.264	74562.416	0.216	30.011	G	N/A	6a00146
367568.267	74561.560	0.138	31.325	G	N/A	6a00146
367567.594	74560.916	0.114	32.255	G	N/A	6a00146
367566.840	74560.366	0.149	33.185	G	N/A	6a00146
367566.221	74559.863	0.283	33.982	G	N/A	6a00146
367565.494	74559.190	0.471	34.972	G	N/A	6a00146
367564.367	74558.251	0.687	36.439	G	N/A	6a00146
367564.322	74558.199	0.734	36.507	FB	N/A	6a00146
367563.644	74557.578	0.785	37.426	FB	N/A	6a00146
367563.561	74557.573	1.749	37.492	FB	N/A	6a00146
367562.867	74556.956	1.746	38.421	FB	N/A	6a00146
367562.864	74556.912	2.769	38.452	FB	N/A	6a00146
367562.713	74556.816	2.769	38.629	FB	N/A	6a00146
367562.727	74556.774	2.952	38.646	FB	N/A	6a00146
367562.699	74556.685	2.950	38.725	FB	N/A	6a00146
367562.671	74556.616	3.876	38.791	FB	N/A	6a00146
367562.391	74556.471	3.898	39.098	FB	N/A	6a00146
367562.320	74556.465	2.944	39.156	FB	N/A	6a00146
367562.225	74556.390	2.942	39.277	FB	N/A	6a00146
367562.229	74556.350	2.741	39.300	FB	N/A	6a00146
367561.085	74555.285	2.762	40.862	G	N/A	6a00146
367558.616	74553.309	3.271	44.022	G	N/A	6a00146
367555.876	74550.979	3.983	47.619	G	N/A	6a00146
367553.903	74549.095	4.504	50.343	G	N/A	6a00146
367551.082	74546.693	4.693	54.048	G	N/A	6a00146
367548.042	74544.188	4.895	57.986	G	N/A	6a00146
367545.000	74541.501	5.116	62.045	G	N/A	6a00146
367542.110	74538.942	5.248	65.904	G	N/A	6a00146
367539.271	74536.447	5.402	69.684	G	N/A	6a00146
367536.169	74533.920	5.522	73.683	G	N/A	6a00146
367533.127	74531.288	5.724	77.706	G	N/A	6a00146
367530.125	74528.756	6.102	81.633	G	N/A	6a00146
367527.417	74526.259	6.565	85.314	G	N/A	6a00146
367524.600	74523.980	6.925	88.936	G	N/A	6a00146
367523.686	74523.129	6.905	90.184	G	N/A	6a00146
367521.141	74520.941	7.275	93.540	G	N/A	6a00146
367518.177	74518.463	7.975	97.403	G	N/A	6a00146
367515.533	74516.164	8.757	100.907	G	N/A	6a00146
367512.971	74513.924	9.560	104.310	G	N/A	6a00146
367510.276	74511.602	10.302	107.867	G	N/A	6a00146
367507.642	74509.212	10.883	111.423	G	N/A	6a00146
367504.815	74506.878	11.535	115.088	G	N/A	6a00146
367502.364	74504.820	12.239	118.288	G	N/A	6a00146
367500.682	74503.337	12.497	120.530	G	N/A	6a00146
367498.368	74501.324	12.457	123.597	G	N/A	6a00146
367496.413	74499.667	12.300	126.160	G	N/A	6a00146
367494.942	74498.399	11.690	128.102	G	N/A	6a00146
367492.797	74496.573	10.533	130.919	G	N/A	6a00146
367490.883	74494.876	9.689	133.477	G	N/A	6a00146
367488.260	74492.655	9.191	136.914	G	N/A	6a00146
367485.363	74490.091	8.911	140.782	G	N/A	6a00146
367482.474	74487.632	8.687	144.576	G	N/A	6a00146
367481.185	74486.532	8.685	146.270	G	N/A	6a00146
367478.746	74484.447	7.745	149.479	G	N/A	6a00146
367476.742	74482.700	7.451	152.137	G	N/A	6a00146
367474.172	74480.557	7.033	155.483	G	N/A	6a00146
367471.705	74478.430	6.556	158.741	G	N/A	6a00146
367469.007	74475.960	6.276	162.397	G	N/A	6a00146
367467.634	74474.782	6.085	164.206	G	N/A	6a00146
367465.712	74473.219	5.323	166.682	G	N/A	6a00146
367464.412	74471.977	5.041	168.478	G	N/A	6a00146
367462.857	74470.694	5.053	170.493	G	N/A	6a00146
367461.935	74469.907	4.856	171.706	G	N/A	6a00146
367459.468	74467.807	4.075	174.945	G	N/A	6a00146
367457.787	74466.341	3.262	177.176	G	N/A	6a00146
367456.016	74464.823	2.662	179.508	G	N/A	6a00146
367454.047	74463.126	1.954	182.108	G	N/A	6a00146
367452.453	74461.717	1.426	184.235	G	N/A	6a00146
367450.420	74459.979	0.877	186.909	G	N/A	6a00146
367448.545	74458.384	0.402	189.371	G	N/A	6a00146
367446.879	74456.951	-0.025	191.569	G	N/A	6a00146
367445.559	74455.841	-0.299	193.293	G	N/A	6a00146
367443.584	74454.114	-0.786	195.917	G	N/A	6a00146
367441.831	74452.602	-1.285	198.232	G	N/A	6a00146
367440.746	74451.696	-1.467	199.645	G	N/A	6a00146
367505.027	74646.692	3.006	17.206	FB	N/A	6a00148
367503.362	74645.339	3.055	19.350	FB	N/A	6a00148
367503.213	74645.188	3.100	19.562	GR	N/A	6a00148
367502.820	74644.812	3.136	20.105	GR	N/A	6a00148
367502.297	74644.372	2.995	20.788	G	N/A	6a00148
367501.824	74643.954	2.945	21.420	G	N/A	6a00148
367500.063	74642.415	2.904	23.758	G	N/A	6a00148
367497.957	74640.616	2.908	26.528	G	N/A	6a00148
367495.929	74638.831	2.870	29.230	G	N/A	6a00148
367493.871	74637.077	2.966	31.933	G	N/A	6a00148
367492.627	74635.985	3.016	33.589	G	N/A	6a00148
367492.568	74635.987	3.078	33.632	FB	N/A	6a00148
367492.443	74635.877	3.082	33.798	FB	N/A	6a00148
367492.400	74635.843	3.261	33.853	FB	N/A	6a00148
367492.355	74635.750	3.256	33.948	FB	N/A	6a00148
367492.255	74635.704	4.147	34.054	FB	N/A	6a00148
367492.059	74635.507	4.123	34.331	FB	N/A	6a00148
367491.998	74635.501	3.252	34.381	FB	N/A	6a00148
367491.939	74635.418	3.253	34.480	FB	N/A	6a00148
367491.896	74635.381	3.086	34.537	FB	N/A	6a00148
367491.822	74635.289	3.089	34.653	FB	N/A	6a00148
367491.791	74635.260	2.558	34.695	FB	N/A	6a00148
367491.114	74634.608	2.562	35.634	FB	N/A	6a00148
367490.946	74634.617	1.571	35.755	FB	N/A	6a00148
367490.327	74634.005	1.569	36.624	FB	N/A	6a00148
367490.269	74633.940	0.566	36.710	FB	N/A	6a00148
367489.746	74633.495	0.585	37.397	FB	N/A	6a00148
367489.713	74633.474	0.578	37.435	G	N/A	6a00148
367489.426	74633.217	0.549	37.821	G	N/A	6a00148
367488.214	74632.115	0.341	39.458	G	N/A	6a00148
367487.774	74631.712	-0.141	40.055	G	N/A	6a00148
367487.405	74631.352	-0.282	40.569	W	N/A	6a00148
367484.822	74629.260	-0.149	43.891	W	N/A	6a00148
367484.589	74628.995	-0.023	44.241	G	N/A	6a00148
367484.166	74628.665	0.265	44.777	G	N/A	6a00148
367483.068	74627.722	0.598	46.224	G	N/A	6a00148
367482.690	74627.347	0.572	46.755	FB	N/A	6a00148
367482.101	74626.845	0.577	47.529	FB	N/A	6a00148
367482.043	74626.788	1.587	47.610	FB	N/A	6a00148
367481.405	74626.302	1.586	48.411	FB	N/A	6a00148
367481.388	74626.210	2.592	48.484	FB	N/A	6a00148
367480.676	74625.635	2.575	49.398	FB	N/A	6a00148
367480.631	74625.616	3.135	49.445	FB	N/A	6a00148
367480.532	74625.505	3.148	49.592	FB	N/A	6a00148
367480.496	74625.455	3.254	49.652	FB	N/A	6a00148
367480.423	74625.347	3.258	49.778	FB	N/A	6a00148
367480.344	74625.354	4.076	49.833	FB	N/A	6a00148
367480.150	74625.200	4.070	50.081	FB	N/A	6a00148
367480.145	74625.150	3.275	50.117	FB	N/A	6a00148
367480.046	74625.044	3.256	50.262	FB	N/A	6a00148
367480.032	74625.021	3.174	50.287	G	N/A	6a00148
367480.001	74625.037	3.177	50.300	FB	N/A	6a00148
367479.388	74624.482	3.189	51.127	FB	N/A	6a00148
367478.603	74623.800	3.314	52.167	G	N/A	6a00148
367476.907	74622.344	3.756	54.402	G	N/A	6a00148
367474.997	74620.667	4.271	56.944	G	N/A	6a00148
367473.002	74618.957	4.686	59.571	G	N/A	6a00148
367471.158	74617.335	4.975	62.027	G	N/A	6a00148
367469.131	74615.592	5.256	64.700	G	N/A	6a00148
367467.179	74613.911	5.418	67.276	G	N/A	6a00148
367464.824	74611.859	5.466	70.400	G	N/A	6a00148
367462.674	74609.932	5.612	73.287	G	N/A	6a00148
367460.243	74607.896	5.820	76.457	G	N/A	6a00148
367457.826	74605.821	6.092	79.643	G	N/A	6a00148
367455.423	74603.752	6.222	82.814	G	N/A	6a00148
367453.116	74601.750	6.407	85.868	G	N/A	6a00148
367451.014	74599.828	6.713	88.716	G	N/A	6a00148
367449.025	74598.130	7.162	91.331	G	N/A	6a00148
367447.248	74596.649	7.677	93.643	G	N/A	6a00148
367445.681	74595.281	8.138	95.724	G	N/A	6a00148
367443.701	74593.559	8.750	98.348	G	N/A	6a00148
367441.896	74591.970	9.298	100.752	G	N/A	6a00148
367439.701	74590.022	9.942	103.687	G	N/A	6a00148
367437.528	74588.131	10.621	106.568	G	N/A	6a00148
367435.540	74586.459	11.163	109.165	G	N/A	6a00148
367433.691	74584.795	11.675	111.652	G	N/A	6a00148
367431.794	74583.118	12.007	114.184	G	N/A	6a00148
367429.915	74581.546	12.207	116.633	G	N/A	6a00148
